"","Gruppe","samples","variable","value","se"
"1","AIH","AIH018","Observed",266,NA
"2","AIH","AIH021","Observed",219,NA
"3","AIH","AIH022","Observed",219,NA
"4","AIH","AIH035","Observed",284,NA
"5","AIH","AIH036","Observed",208,NA
"6","AIH","AIH039","Observed",230,NA
"7","AIH","AIH040","Observed",219,NA
"8","AIH","AIH043","Observed",273,NA
"9","AIH","AIH047","Observed",363,NA
"10","AIH","AIH052","Observed",411,NA
"11","AIH","AIH058","Observed",498,NA
"12","AIH","AIH059","Observed",335,NA
"13","AIH","AIH068","Observed",470,NA
"14","AIH","AIH069","Observed",300,NA
"15","AIH","AIH070","Observed",265,NA
"16","AIH","AIH071","Observed",298,NA
"17","healthy","AIH049","Observed",462,NA
"18","healthy","AIH050","Observed",442,NA
"19","healthy","AIH051","Observed",477,NA
"20","healthy","AIH053","Observed",434,NA
"21","healthy","AIH054","Observed",405,NA
"22","healthy","AIH055","Observed",256,NA
"23","healthy","AIH056","Observed",443,NA
"24","healthy","AIH057","Observed",531,NA
"25","healthy","AIH060","Observed",441,NA
"26","healthy","AIH061","Observed",375,NA
"27","healthy","AIH062","Observed",445,NA
"28","healthy","AIH063","Observed",273,NA
"29","healthy","AIH064","Observed",516,NA
"30","healthy","AIH065","Observed",430,NA
"31","healthy","AIH066","Observed",285,NA
"32","healthy","AIH076","Observed",161,NA
"33","healthy","AIH081","Observed",259,NA
"34","healthy","AIH082","Observed",230,NA
"35","healthy","AIH083","Observed",346,NA
